original;translate;base_2;general_thema_en;general_thema_ru;main_thema_en;main_thema_ru;special_thema_en;special_thema_ru;part_of_speech;stage;lesson;text_type
무엇을 드릴까요?;Чем могу помочь?;무엇을 드릴까요?;another;другое;;;;;verb;1;;words
뭐 해요?;Что делаете?;뭐 해요?;another;другое;;;;;verb;1;;words
무엇;Что?;무엇;another;другое;;;;;noun;1;;words
이분;Этот человек;이분;another;другое;;;;;adjective;1;;words
괜찮다;Нормальный;괜찮;another;другое;;;;;adjective;1;;words
수업;Урок;수업;another;другое;;;;;noun;1;;words
회의;Собрание;회의;another;другое;;;;;noun;1;;words
정말;Действительно;정말;another;другое;;;;;adverb;1;;words
시험;Экзамен;시험;another;другое;;;;;noun;1;;words
왜;Почему? Зачем?;왜;another;другое;;;;;;1;;words
많이;Много;많이;another;другое;;;;;adverb;1;;words
재미있다;Интересный;재미있;another;другое;;;;;adjective;1;;words
어렵다;Сложный, трудный;어렵;another;другое;;;;;adjective;1;;words
이유;Причина;이유;another;другое;;;;;noun;1;;words
배우다;Изучать;배우;another;другое;;;;;verb;1;;words
지난;Прошлый, прошедший;지난;another;другое;;;;;adjective;1;;words
이주;Очень;이주;another;другое;;;;;adverb;1;;words
쉽다;Легкий;쉽;another;другое;;;;;adjective;1;;words
말하기;Разговор;말하기;another;другое;;;;;noun;1;;words
노래;Песня;노래;another;другое;;;;;noun;1;;words
시작라다;Начинать;시작라;another;другое;;;;;verb;1;;words
잘하다;Уметь хорошо что-то делать;잘하;another;другое;;;;;verb;1;;words
월;Понедельник (сокр.);월;time;время;weeks;недели;;;noun;1;;words
화;Вторник (сокр.);화;time;время;weeks;недели;;;noun;1;;words
수;Среда (сокр.);수;time;время;weeks;недели;;;noun;1;;words
목;Четверг (сокр.);목;time;время;weeks;недели;;;noun;1;;words
금;Пятница (сокр.);금;time;время;weeks;недели;;;noun;1;;words
토;Суббота (сокр.);토;time;время;weeks;недели;;;noun;1;;words
일;Воскресенье (сокр.);일;time;время;weeks;недели;;;noun;1;;words
요일;День недели;요일;time;время;weeks;недели;;;noun;1;;words
무스요일;Какой день недели;무스요일;time;время;weeks;недели;;;noun;1;;words
이번 주;Эта неделя;이번 주;time;время;weeks;недели;;;noun;1;;words
지난 주;Прошлая неделя;지난 주;time;время;weeks;недели;;;noun;1;;words
주말;Выходные (конец недели);주말;time;время;weeks;недели;;;noun;1;;words
이번 주말;Эти выходные;이번 주말;time;время;weeks;недели;;;noun;1;;words
지난 주말;Прошлые выходные;지난 주말;time;время;weeks;недели;;;noun;1;;words
보내다;Проводить (время);보내;time;время;relation;относительно;;;verb;2;;words
요즘;В последнее время;요즘;time;время;relation;относительно;;;pronoun;1;;words
어제;Вчера;어제;time;время;days;дни;;;pronoun;1;;words
오늘;Сегодня;오늘;time;время;days;дни;;;pronoun;1;;words
지금;Сейчас;지금;time;время;relation;относительно;;;pronoun;1;;words
작년;Прошлый год;작년;time;время;years;years;;;adjective;1;;words
시간;Время;시간;time;время;relation;относительно;;;noun;1;;words
월;Месяц;월;time;время;months;месяца;;;noun;1;;words
언제;Когда;언제;time;время;relation;относительно;;;pronoun;1;;words
지나다;Проходить;지나;time;время;relation;относительно;;;verb;1;;words
며칠;Какое число (дата);며칠;time;время;days;дни;;;adjective;1;;words
봄;Весна;봄;time;время;seasons;сезоны;wheather;погода;noun;1;;words
여름;Лето;여름;time;время;seasons;сезоны;wheather;погода;noun;1;;words
가을;Осень;가을;time;время;seasons;сезоны;wheather;погода;noun;1;;words
겨울;Зима;겨울;time;время;seasons;сезоны;wheather;погода;noun;1;;words
눈이;Снег;눈이;wheather;погода;;;;;noun;1;;words
비가;Дождь;비가;wheather;погода;;;;;noun;1;;words
흐려요;Пасмурно;흐려;wheather;погода;;;;;noun;1;;words
날씨가 어때요?;Какая погода?;날씨가 어때요?;wheather;погода;;;;;adjective;1;;words
덥다;Жарко;덥;wheather;погода;;;;;pronoun;1;;words
따뜻하다;Тепло;따뜻하;wheather;погода;;;;;pronoun;1;;words
시원하다;Прохладно/Свежо;시원하;wheather;погода;;;;;pronoun;1;;words
춥다;Холодно;춥;wheather;погода;;;;;pronoun;1;;words
갔다 오다;сходить (и вернуться);;action;действие;;;;;verb;2;1;words
좀;немного;;time;время;relation;относительно;;;adverb;2;1;words
늦다;поздний;;time;время;relation;относительно;;;adverb;2;1;words
전화를 받다;отвечать на телефонный звонок;;action;действие;;;;;verb;2;1;words
음식;еда;;products;продукты;;;;;noun;2;1;words
조금;немного / чуть-чуть;;another;другое;;;;;adverb;2;1;words
그럼;тогда;;union;союзы;;;;;adverb;2;1;words
다시;снова / опять;;another;другое;;;;;adverb;2;1;words
안부;Приветствие;안부;another;другое;;;;;noun;2;;words
지내다;Поживать;지내;another;другое;;;;;verb;2;;words
휴가;Отпуск;휴가;another;другое;;;;;noun;2;;words
정신이 없다;суетиться / аврал;;action;действие;;;;;verb;2;1;words
힘들다;Тяжелый/Сложный;힘들;another;другое;;;;;adjective;2;1;words
재미있다;Интересный;재미있;another;другое;;;;;adjective;2;1;words
재미없다;Неинтересный;재미없;another;другое;;;;;adjective;2;1;words
바쁘다;Занят;바쁘;another;другое;;;;;adverb;2;1;words
즐겁다;Радостный;즐겁;another;другое;;;;;adjective;2;1;words
그저그렇다  그렇다;Так себе;그래;another;другое;;;;;adverb;2;1;words
비곤하다;Быть уставшим;비곤하;another;другое;;;;;adjective;2;;words
자전거;Велосипед;자전거;transport;транспорт;;;;;noun;2;;words
언제나;Когда бы то ни было;;time;время;relation;относительно;;;adverb;2;2;words
항상;постоянно;;time;время;times;частота;;;adverb;2;;words
가끔;Редко;;time;время;times;частота;;;adverb;2;2;words
거의;Почти;;time;время;times;частота;;;adverb;2;2;words
자주;Часто;;time;время;times;частота;;;adverb;2;2;words
별로;Совсем;;another;другое;;;;;adverb;2;2;words
전혀;Не совсем / почти;;another;другое;;;;;adverb;2;2;words
피곤하다;Уставать;피곤하;action;действие;;;;;verb;2;1;words
많다;Многочисленный;마나;another;другое;;;;;adjective;2;;words
그렇다;Так себе;그렇;another;другое;;;;;adverb;2;;words
비빔밥;Пибимбап (Рис, яйцо, ростки);;products;продукты;;;;;noun;2;;words
설렁탕;Суп из говядины;;products;продукты;;;;;noun;2;;words
삼계탕;Суп куриный;;products;продукты;;;;;noun;2;;words
갈비;Жареные ребрышки;;products;продукты;;;;;noun;2;;words
기치찌개;Суп кимчи острый;;products;продукты;;;;;noun;2;;words
된장찌개;Суп соевый;;products;продукты;;;;;noun;2;;words
냉면;Лапша холодная;;products;продукты;;;;;noun;2;;words
김밥;Кимбап (ролы);;products;продукты;;;;;noun;2;;words
라면;Лапша рамен;;products;продукты;taste;вкус;;;noun;2;;words
맛있다;Вкусный;;products;продукты;taste;вкус;;;adjective;2;3;words
싱겁다;Пресный;;products;продукты;taste;вкус;;;adjective;2;3;words
맛없다;Невкусный;;products;продукты;taste;вкус;;;adjective;2;3;words
달다;Сладкий;;products;продукты;taste;вкус;;;adjective;2;3;words
맵다;Острый;;products;продукты;taste;вкус;;;adjective;2;3;words
쓰다;Горький;;products;продукты;taste;вкус;;;adjective;2;3;words
짜다;Соленый;;products;продукты;taste;вкус;;;adjective;2;3;words
시다;Кислый;;products;продукты;taste;вкус;;;adjective;2;3;words
이;Этот;;annother;другое;;;;;adjective;2;3;words
다;Всё;;annother;другое;;;;;;2;3;words
팔다;Подавать;;action;действие;;;;;verb;2;3;words
여러분;Вы / Ребята;;people;люди;;;;;noun;2;3;words
아주머니;Тетушка;;people;люди;;;;;noun;2;3;words
인기가 있다;Популярный;;people;люди;;;;;adjective;2;3;words
소개하다;Знакомить;;action;действие;;;;;verb;2;3;words
반찬;Закуска;;products;продукты;;;;;noun;2;3;words
버스;Автобус;;transport;транспорт;;;;;noun;2;4;words
기차;Паровоз;;transport;транспорт;;;;;noun;2;4;words
택시;Такси;;transport;транспорт;;;;;noun;2;4;words
비행기;Самолет;;transport;транспорт;;;;;noun;2;4;words
자전거;Велосипед;;transport;транспорт;;;;;noun;2;4;words
지하철;Метро;;transport;транспорт;;;;;noun;2;4;words
어떻게;Как;;annother;другое;;;;;;2;4;words
하루;День;;time;время;;;;;noun;2;4;words
한국문화원;Корейский культурный центр;;place;место;;;;;noun;2;4;words
번;номер / количество раз;;counter;счетные;;;;;noun;2;4;words
시숙사;Общежитие;;place;место;;;;;noun;2;4;words
생신;День рождения;;time;время;;;;;noun;2;4;words
도시;Город;;place;место;;;;;noun;2;4;words
걸어오다;Куда-то приходить;;action;действие;;;;;verb;2;4;words
어느;Какой из?;;annother;другое;;;;;adjective;2;4;words
산;гора;;place;место;;;;;noun;2;4;words
먼저;Сперва / Сначала;;annother;другое;;;;;adverb;2;4;words
걸어가다;Куда-то идти;;action;действие;;;;;verb;2;4;words
어머니;Мама;;people;люди;family;семья;;;noun;2;4;words
오른쭉;С правой стороны;;location;расположение;side;сторона;;;adverb;2;5;words
왼쪽;С левой стороны;;location;расположение;side;сторона;;;adverb;2;5;words
똑바로;Прямо;;location;расположение;side;сторона;;;adverb;2;5;words
이쪽;эта сторона / здесь;;location;расположение;side;сторона;;;adverb;2;5;words
저쪽;та сторона / там;;location;расположение;side;сторона;;;adverb;2;5;words
그쪽;вон та сторона / вон там;;location;расположение;side;сторона;;;adverb;2;5;words
가깝다;Близко;;location;;direction;направление;;;adverb;2;5;words
멀다;Далеко;;location;;direction;направление;;;adverb;2;5;words
쭉;Прямо;;location;;direction;направление;;;adverb;2;5;words
쯤;Около / примерно;;location;;direction;направление;;;adverb;2;5;words
미터;Метр;;unit;единицы измерения;;;;;noun;2;5;words
서점;Книжный магазин;;place;место;;;;;noun;2;5;words
사무실;Офис;;place;место;;;;;noun;2;5;words
엘리베이터;Лифт;;place;место;;;;;noun;2;5;words
실례지만;Извините;;another;другое;;;;;verb;2;5;words
우리 집;Мой дом;;place;место;;;;;noun;2;5;words
은행;Банк;;place;место;;;;;noun;2;5;words
아파트;Квартира;;place;место;;;;;noun;2;5;words
계단;Лестница;;place;место;;;;;noun;2;5;words
화장실;Туалет;;place;место;;;;;noun;2;5;words
여보세요;алло;;dialog;разговор;telephone talking;телефонный разговор;;;;2;6;talk
잠깐만 기다리세요;подождите немного;;dialog;разговор;telephone talking;телефонный разговор;;;;2;6;talk
통화 중입니다;разговаривать по телефону;;dialog;разговор;telephone talking;телефонный разговор;;;;2;6;talk
실례지만 어디세요?;извините, а кто говорит?;;dialog;разговор;telephone talking;телефонный разговор;;;;2;6;talk
안 계신데요;его (ее) нет на месте;;dialog;разговор;telephone talking;телефонный разговор;;;;2;6;talk
나중에 다시 하겠습니다;я перезвоню позже;;dialog;разговор;telephone talking;телефонный разговор;;;;2;6;talk
잘못 걸었습니다;вы ошиблись номером;;dialog;разговор;telephone talking;телефонный разговор;;;;2;6;talk
씨 좀 바꿔 주세요;передайте трубку (кому-то);;dialog;разговор;telephone talking;телефонный разговор;;;;2;6;talk
전화번호;Номер телефона;;another;другое;;;;;noun;2;6;words
사전;Словарь;;items;предмет;;;;;noun;2;6;words
선물;Подарок;;items;предмет;;;;;noun;2;6;words
여행사;Туристическая фирма;;place;место;;;;;noun;2;6;words
댁;Дом (вежливая форма);;place;место;;;;;noun;2;6;words
알다;Знать;;another;другое;;;;;verb;2;6;words
모르다;Не знать;;another;другое;;;;;verb;2;6;words
다른;Другой;;another;другое;;;;;adjective;2;6;words
가르치다;Обучать / Учить;;another;другое;;;;;verb;2;6;words
빌리다;Брать в аренду / в долг;빌려;another;другое;;;;;verb;2;6;words
거기;Там;;another;другое;;;;;adverb;2;7;words
그렇다;Так;;another;другое;;;;;adverb;2;6;words
맞다;Правильный;;another;другое;;;;;adjective;2;6;words
휴대 전화;Мобильный телефон;;items;предмет;;;;;noun;2;6;words
물어보다;Спрашивать;;another;другое;;;;;verb;2;6;words
걱정하다;Беспокоиться;;another;другое;;;;;verb;2;6;words
외모;внешность;;look;внешность;;;;;noun;2;7;words
예쁘다;красивая;여뻐요;look;внешность;;;;;adjective;2;7;words
귀엽다;милый;;look;внешность;;;;;adjective;2;7;words
날씬하다;стройный;;look;внешность;;;;;adjective;2;7;words
머있다;привлекательный;;look;внешность;;;;;adjective;2;7;words
키가 크다 / 작다;рост высокий / низкий;;look;внешность;;;;;adjective;2;7;words
뚱뚱하다;толстый;;look;внешность;;;;;adjective;2;7;words
잘생기다;красивый (хорошо появился);;look;внешность;;;;;adjective;2;7;words
머리가 길다 / 짧다;волосы длинные / короткие;;look;внешность;;;;;adjective;2;7;words
마르다;тощий;;look;внешность;;;;;adjective;2;7;words
취미;хобби;;action;действие;;;;;noun;2;2;words
일어나다;вставать / просыпаться;;action;действие;;;;;verb;2;2;words
들어오다;входить;;action;действие;;;;;verb;2;2;words
운동장;стадион;;place;место;;;;;noun;2;2;words
건강에 좋다;полезно для здоровья;;another;другое;;;;;adverb;2;2;words
꼭;обязательно;;another;другое;;;;;adverb;2;2;words
너무;слишком;;another;другое;;;;;adverb;2;2;words
매주;каждую неделю;;time;время;weeks;недели;;;adverb;2;2;words
제;мой / свой;;another;другое;;;;;adverb;2;2;words
매일;ежедневно;;time;время;days;дни;;;adverb;2;2;words
보이다;виднеться;;action;действие;;;;;verb;2;7;words
빨간색;красный цвет;;color;цвет;;;;;noun;2;7;words
검은색;черный цвет;;color;цвет;;;;;noun;2;7;words
청바지;джинсы;;clothes;одежда;;;;;noun;2;7;words
호텔;гостиница;;place;место;;;;;noun;2;7;words
여학생;студентка / школьница;;people;люди;;;;;noun;2;7;words
문;дверь;;another;другое;;;;;noun;2;7;words
노란색;желтый цвет;;color;цвет;;;;;noun;2;7;words
흰색;белый цвет;;color;цвет;;;;;noun;2;7;words
찾다;искать;;action;действие;;;;;verb;2;7;words
입다;надевать (брюки, юбку...);;action;действие;clothes;одежда;;;verb;2;7;words
들다;держать (сумку);;action;действие;items;предметы;;;verb;2;7;words
넥타이를 매다;носить галстук;;action;действие;clothes;одежда;;;verb;2;7;words
목도리를 하다;завязывать шарф;;action;действие;clothes;одежда;;;verb;2;7;words
가족;семья;;people;люди;family;семья;;;noun;2;8;words
할아버지;дедушка;;people;люди;family;семья;;;noun;2;8;words
언니;сестра для девушка;;people;люди;family;семья;;;noun;2;8;words
누나;сестро для мальчика;;people;люди;family;семья;;;noun;2;8;words
할머니;бабушка;;people;люди;family;семья;;;noun;2;8;words
오빠;старший брат для девушка;;people;люди;family;семья;;;noun;2;8;words
형;старший брат для мальчика;;people;люди;family;семья;;;noun;2;8;words
아버지;дедушка;;people;люди;family;семья;;;noun;2;8;words
동생;младший брат или сетсра;;people;люди;family;семья;;;noun;2;8;words
여동생;младший брат;;people;люди;family;семья;;;noun;2;8;words
남동생;младшая сестра;;people;люди;family;семья;;;noun;2;8;words
있다;быть;;another;другое;;;;;verb;1;1;words
계시다;быть (вежливо);;another;другое;;;;;verb;2;8;words
말씀하시다;говорит (вежливо);;dialog;разговор;;;;;verb;2;8;words
드시다;есть (вежливо);;action;действие;;;;;verb;2;8;words
돌아가시다;умирать (вежливо);;action;действие;;;;;verb;2;8;words
주무시다;спать (вежливо);;action;действие;;;;;verb;2;8;words
편찮으시다;нормальный (вежливо);;another;другое;;;;;adjective;2;8;words
아름답다;красивый;;another;другое;;;;;adjective;2;9;words
경치가 좋다;хороший вид (пейзаж);;another;другое;;;;;adjective;2;9;expression
사람들이 친절하다;люди вежливые;;people;люди;;;;;adjective;2;9;expression
교통이 편리하다;транспорт удобный;;transport;транспорт;;;;;adjective;2;9;expression
교통이 불편하다;транспорт неудобный;;transport;транспорт;;;;;adjective;2;9;expression
유명하다;известный;;another;другое;;;;;adjective;2;9;words
공기가 맑다;воздух свежий;;another;другое;;;;;adjective;2;9;expression
강;река;;place;место;;;;;noun;2;9;words
온천;горячие источники;;place;место;;;;;adjective;2;9;expression
민속촌;национальная деревня;;place;место;;;;;noun;2;9;expression
섬;остров;;place;место;;;;;noun;2;9;words
폭포;водопад;;place;место;;;;;noun;2;9;words
호수;озеро;;place;место;;;;;noun;2;9;words
유적지;исторический памятник;;place;место;;;;;noun;2;9;expression
드라마 촬영지;место съемок сериала;;place;место;;;;;noun;2;9;expression
하지만;но;;union;союзы;;;;;adverb;2;9;words
놀이공원;парк развлечений;;place;место;;;;;noun;2;9;expression
특히;особенно;;union;союзы;;;;;adverb;2;9;words
글쎄요;ну / ммм / что ж;;another;другое;;;;;adverb;2;9;words
곳;место;;place;место;;;;;noun;2;9;words
드라마;сериал;;another;другое;;;;;noun;2;9;words
관심;интерес;;another;другое;;;;;noun;2;9;words
건강;здоровье;;condition;состояние;;;;;noun;2;10;words
머리;голово (волосы);;people;люди;body_parts;части тела;;;noun;2;10;words
귀;уши;;people;люди;body_parts;части тела;;;noun;2;10;words
다리;ноги;;people;люди;body_parts;части тела;;;noun;2;10;words
얼굴;лицо;;people;люди;body_parts;части тела;;;noun;2;10;words
이;зуб;;people;люди;body_parts;части тела;;;noun;2;10;words
발;стопа;;people;люди;body_parts;части тела;;;noun;2;10;words
눈;глаз;;people;люди;body_parts;части тела;;;noun;2;10;words
목;шея;;people;люди;body_parts;части тела;;;noun;2;10;words
배;живот;;people;люди;body_parts;части тела;;;noun;2;10;words
코;нос;;people;люди;body_parts;части тела;;;noun;2;10;words
팔다;рука;;people;люди;body_parts;части тела;;;noun;2;10;words
허리;спина (поясница);;people;люди;body_parts;части тела;;;noun;2;10;words
입;рот;;people;люди;body_parts;части тела;;;noun;2;10;words
손;кисти;;people;люди;body_parts;части тела;;;noun;2;10;words
어깨;плечи;;people;люди;body_parts;части тела;;;noun;2;10;words
참다;терпеть;;condition;состояние;;;;;verb;2;10;expression
건강하다;здоровый;;condition;состояние;;;;;verb;2;10;words
아프다;болеть;;condition;состояние;;;;;noun;2;10;words
감기에 걸리다;простудиться;;condition;состояние;;;;;verb;2;10;expression
닛다;становится лучше;;condition;состояние;;;;;;2;10;expression
몸이 안 졸다;плохо себя чувствую;;condition;состояние;;;;;;2;10;expression
열이나다;температура;;condition;состояние;;;;;noun;2;10;expression
좋아지다;улучшаться (попровляться);;condition;состояние;;;;;verb;2;10;expression
다치다;пораниться;;condition;состояние;;;;;verb;2;10;expression
기침을 하다;кашлять;;condition;состояние;;;;;verb;2;10;words
비밀;секрет;;annother;другое;;;;;noun;2;10;words
일찍;рано;;time;время;;;;;adverb;2;10;words
푹;вдоволь (высыпаться);;annother;другое;;;;;adverb;2;10;words
전;до, перед;;annother;другое;;;;;adverb;2;10;words
바꾸다;менять;;action;действие;;;;;verb;2;10;words
말;слово;;annother;другое;;;;;noun;2;10;words
빨리;быстро;;annother;другое;;;;;adverb;2;10;words
약;лекарство;;condition;состояние;;;;;noun;2;10;words
씻다;мыть / мыться;;action;действие;;;;;verb;2;10;words
습관;прививка;;condition;состояние;;;;;noun;2;10;words
